BGC,Colour
SBSmc1,dodgerblue4
SBSmc2,dodgerblue2
SBSmc3,dodgerblue1
SBSwk1,deepskyblue3
SBSwk2,deepskyblue
SBSwk3,darkturquoise
SBSmk1,lightsteelblue
ICHmc1,olivedrab
ICHmc2,olivedrab1
ICHdw3,palegreen
ICHdw4,palegreen4
ICHmw5,seagreen1
ICHmk1,seagreen3
ICHmk4,seagreen4
ICHwc,springgreen
IDFdw2,yellow1
IDFdk5,gold
IDFdk1,gold1
IDFdk2,gold2
IDFdk3,gold3
IDFdk4,gold4
IDFdm1,goldenrod1
IDFxm,goldenrod2
IDFxc,goldenrod3
IDFxh1,goldenrod4
IDFxh2,darkgoldenrod1
IDFmw1,darkgoldenrod3
IDFxw,darkgoldenrod4
MSdm3,deeppink2
MSdm2,deeppink1
MSdk1,deeppink3
MSdc3,deeppink4
ESSFdc3,darkorchid1
ESSFdc2,darkorchid4
ESSFwv,darkmagenta
CWHws1,green4
CWHws2,darkgreen
BGxh3,red
PPxh2,sienna3
PPdh2,sienna2
BGxw1,red3
