"","Ba","Bl","Cw","Fd","Hw","Pl","Py","Ss","Sx"
"Ba",1,-0.116580398432785,-0.0543040766368111,-0.227665201613166,0.205645684414664,-0.0741662122188441,-0.179269896939386,0.708815133092078,0.0213012255777171
"Bl",-0.116580398432785,1,0.0820653972130559,0.0123391410687459,0.00281813679462812,-0.0179040634516765,-0.0307207366280062,-0.218426453207794,0.424151185436338
"Cw",-0.0543040766368111,0.0820653972130559,1,0.0123758636968067,0.292222617704927,-0.0164617020566475,0.168467603210678,-0.0578128650186664,0.0271965220996653
"Fd",-0.227665201613166,0.0123391410687459,0.0123758636968067,1,-0.0886949693629429,0.0844589380552115,-0.175094968938969,-0.409699112398222,-0.270609954078623
"Hw",0.205645684414664,0.00281813679462812,0.292222617704927,-0.0886949693629429,1,0.185500295361499,0.051464783824011,0.199474781942278,0.162152382373687
"Pl",-0.0741662122188441,-0.0179040634516765,-0.0164617020566475,0.0844589380552115,0.185500295361499,1,0.381651761059715,-0.088701647053661,-0.00165607334963723
"Py",-0.179269896939386,-0.0307207366280062,0.168467603210678,-0.175094968938969,0.051464783824011,0.381651761059715,1,-0.132893679483426,0.284184406322561
"Ss",0.708815133092078,-0.218426453207794,-0.0578128650186664,-0.409699112398222,0.199474781942278,-0.088701647053661,-0.132893679483426,1,0.147604999288875
"Sx",0.0213012255777171,0.424151185436338,0.0271965220996653,-0.270609954078623,0.162152382373687,-0.00165607334963723,0.284184406322561,0.147604999288875,1
