BWBSwk1,ESSFmv1,ICHdk,ICHdw3,ICHmc1,ICHmc2,ICHmk3,ICHwk2,MSxv,SBPSdc,SBPSmc,SBPSmk,SBPSxc,SBSdh1,SBSdh2,SBSdk,SBSdw1,SBSdw2,SBSdw3,SBSmc1,SBSmc2,SBSmc3,SBSmk1,SBSmk2,SBSmm,SBSmw,SBSwk2,SBSwk3
44.74236312,68.81011631,29.75064384,10.2283244,36.38260492,35.18256944,32.17245892,21.51242712,46.26847176,52.91150355,66.91350221,50.88106109,42.0740337,47.84663414,40.00965394,61.18859241,30.593904,43.26659129,65.80071954,42.0740337,94.63058889,77.3809614,69.19584196,47.31468789,41.14369821,42.54706069,40.91434658,86.5342919
44.49358951,67.49653526,30.15714156,11.01860369,36.91958966,36.66876993,32.74372175,22.27540585,45.31853193,52.16384049,65.74923656,50.36961859,41.28513882,48.15474369,39.3939752,60.3943747,31.01855434,43.24860303,65.26182479,41.87273574,93.16931901,76.09319821,68.32126671,46.55236364,40.88855233,43.01309898,40.36706386,85.21203127
44.24481591,66.1829542,30.56363928,11.80888298,37.45657441,38.15497041,33.31498458,23.03838458,44.36859211,51.41617744,64.5849709,49.8581761,40.49624395,48.46285323,38.77829646,59.60015699,31.44320469,43.23061476,64.72293003,41.67143779,91.70804912,74.80543503,67.44669146,45.79003938,40.63340645,43.47913727,39.81978115,83.88977065
43.9960423,64.86937314,30.970137,12.59916227,37.99355915,39.6411709,33.88624741,23.80136332,43.41865229,50.66851438,63.42070524,49.3467336,39.70734907,48.77096278,38.16261771,58.80593928,31.86785503,43.2126265,64.18403528,41.47013984,90.24677924,73.51767185,66.5721162,45.02771513,40.37826057,43.94517557,39.27249844,82.56751002
43.7472687,63.55579209,31.37663472,13.38944156,38.5305439,41.12737138,34.45751025,24.56434205,42.46871247,49.92085133,62.25643958,48.8352911,38.9184542,49.07907232,37.54693897,58.01172157,32.29250537,43.19463823,63.64514052,41.26884189,88.78550935,72.22990866,65.69754095,44.26539088,40.12311469,44.41121386,38.72521572,81.24524939
43.49849509,62.24221103,31.78313243,14.17972085,39.06752864,42.61357187,35.02877308,25.32732078,41.51877264,49.17318827,61.09217393,48.3238486,38.12955933,49.38718187,36.93126023,57.21750386,32.71715571,43.17664997,63.10624577,41.06754394,87.32423947,70.94214548,64.8229657,43.50306662,39.86796881,44.87725215,38.17793301,79.92298876
43.24972149,60.92862998,32.18963015,14.97000014,39.60451339,44.09977236,35.60003591,26.09029952,40.56883282,48.42552522,59.92790827,47.81240611,37.34066445,49.69529141,36.31558148,56.42328615,33.14180605,43.1586617,62.56735101,40.86624599,85.86296959,69.65438229,63.94839044,42.74074237,39.61282293,45.34329044,37.6306503,78.60072813
43.00094788,59.61504892,32.59612787,15.76027943,40.14149813,45.58597284,36.17129874,26.85327825,39.618893,47.67786216,58.76364261,47.30096361,36.55176958,50.00340096,35.69990274,55.62906844,33.56645639,43.14067344,62.02845626,40.66494804,84.4016997,68.36661911,63.07381519,41.97841811,39.35767705,45.80932874,37.08336758,77.2784675
42.75217428,58.30146786,33.00262559,16.55055872,40.67848288,47.07217333,36.74256157,27.61625698,38.66895318,46.93019911,57.59937696,46.78952111,35.76287471,50.3115105,35.084224,54.83485073,33.99110673,43.12268517,61.4895615,40.46365009,82.94042982,67.07885593,62.19923994,41.21609386,39.10253117,46.27536703,36.53608487,75.95620687
42.50340067,56.98788681,33.4091233,17.34083801,41.21546762,48.55837382,37.3138244,28.37923571,37.71901335,46.18253606,56.4351113,46.27807861,34.97397983,50.61962005,34.46854525,54.04063302,34.41575707,43.10469691,60.95066675,40.26235214,81.47915994,65.79109274,61.32466468,40.45376961,38.84738529,46.74140532,35.98880216,74.63394624
42.25462707,55.67430575,33.81562102,18.1311173,41.75245236,50.0445743,37.88508723,29.14221445,36.76907353,45.434873,55.27084564,45.76663612,34.18508496,50.92772959,33.85286651,53.24641532,34.84040741,43.08670864,60.41177199,40.06105419,80.01789005,64.50332956,60.45008943,39.69144535,38.59223941,47.20744362,35.44151944,73.31168562
42.00585346,54.36072469,34.22211874,18.92139659,42.28943711,51.53077479,38.45635006,29.90519318,35.81913371,44.68720995,54.10657999,45.25519362,33.39619008,51.23583914,33.23718777,52.45219761,35.26505775,43.06872038,59.87287724,39.85975623,78.55662017,63.21556637,59.57551418,38.9291211,38.33709353,47.67348191,34.89423673,71.98942499
41.75707986,53.04714364,34.62861646,19.71167588,42.82642185,53.01697527,39.02761289,30.66817191,34.86919389,43.93954689,52.94231433,44.74375112,32.60729521,51.54394868,32.62150902,51.6579799,35.68970809,43.05073211,59.33398248,39.65845828,77.09535029,61.92780319,58.70093892,38.16679684,38.08194765,48.1395202,34.34695402,70.66716436
41.50830625,51.73356258,35.03511418,20.50195517,43.3634066,54.50317576,39.59887572,31.43115065,33.91925406,43.19188384,51.77804867,44.23230862,31.81840034,51.85205823,32.00583028,50.86376219,36.11435843,43.03274385,58.79508772,39.45716033,75.6340804,60.64004,57.82636367,37.40447259,37.82680177,48.6055585,33.7996713,69.34490373
41.25953265,50.41998152,35.44161189,21.29223446,43.90039134,55.98937625,40.17013855,32.19412938,32.96931424,42.44422078,50.61378301,43.72086613,31.02950546,52.16016777,31.39015154,50.06954448,36.53900877,43.01475558,58.25619297,39.25586238,74.17281052,59.35227682,56.95178842,36.64214834,37.57165589,49.07159679,33.25238859,68.0226431
41.01075904,49.10640047,35.84810961,22.08251375,44.43737609,57.47557673,40.74140138,32.95710811,32.01937442,41.69655773,49.44951736,43.20942363,30.24061059,52.46827732,30.77447279,49.27532677,36.96365911,42.99676732,57.71729821,39.05456443,72.71154063,58.06451364,56.07721316,35.87982408,37.31651001,49.53763508,32.70510588,66.70038247
40.76198544,47.79281941,36.25460733,22.87279303,44.97436083,58.96177722,41.31266421,33.72008685,31.0694346,40.94889467,48.2852517,42.69798113,29.45171572,52.77638686,30.15879405,48.48110906,37.38830945,42.97877905,57.17840346,38.85326648,71.25027075,56.77675045,55.20263791,35.11749983,37.06136413,50.00367337,32.15782317,65.37812184
40.51321183,46.47923835,36.66110505,23.66307232,45.51134558,60.44797771,41.88392705,34.48306558,30.11949477,40.20123162,47.12098604,42.18653863,28.66282084,53.08449641,29.54311531,47.68689135,37.81295979,42.96079079,56.6395087,38.65196853,69.78900087,55.48898727,54.32806266,34.35517557,36.80621825,50.46971167,31.61054045,64.05586121
40.26443823,45.1656573,37.06760276,24.45335161,46.04833032,61.93417819,42.45518988,35.24604431,29.16955495,39.45356856,45.95672039,41.67509614,27.87392597,53.39260595,28.92743656,46.89267364,38.23761013,42.94280252,56.10061395,38.45067058,68.32773098,54.20122408,53.45348741,33.59285132,36.55107237,50.93574996,31.06325774,62.73360059
40.01566462,43.85207624,37.47410048,25.2436309,46.58531507,63.42037868,43.02645271,36.00902305,28.21961513,38.70590551,44.79245473,41.16365364,27.08503109,53.7007155,28.31175782,46.09845593,38.66226047,42.92481426,55.56171919,38.24937263,66.8664611,52.9134609,52.57891215,32.83052707,36.29592649,51.40178825,30.51597503,61.41133996
39.76689102,42.53849519,37.8805982,26.03391019,47.12229981,64.90657916,43.59771554,36.77200178,27.26967531,37.95824246,43.62818907,40.65221114,26.29613622,54.00882504,27.69607908,45.30423822,39.08691081,42.90682599,55.02282444,38.04807467,65.40519122,51.62569772,51.7043369,32.06820281,36.04078061,51.86782655,29.96869231,60.08907933
39.51811741,41.22491413,38.28709592,26.82418948,47.65928455,66.39277965,44.16897837,37.53498051,26.31973548,37.2105794,42.46392342,40.14076864,25.50724135,54.31693459,27.08040034,44.51002051,39.51156116,42.88883773,54.48392968,37.84677672,63.94392133,50.33793453,50.82976165,31.30587856,35.78563473,52.33386484,29.4214096,58.7668187
39.26934381,39.91133307,38.69359364,27.61446877,48.1962693,67.87898014,44.7402412,38.29795925,25.36979566,36.46291635,41.29965776,39.62932615,24.71834647,54.62504413,26.46472159,43.7158028,39.9362115,42.87084946,53.94503493,37.64547877,62.48265145,49.05017135,49.95518639,30.5435543,35.53048885,52.79990313,28.87412689,57.44455807
39.0205702,38.59775202,39.10009135,28.40474806,48.73325404,69.36518062,45.31150403,39.06093798,24.41985584,35.71525329,40.1353921,39.11788365,23.9294516,54.93315368,25.84904285,42.9215851,40.36086184,42.85286119,53.40614017,37.44418082,61.02138157,47.76240816,49.08061114,29.78123005,35.27534297,53.26594143,28.32684417,56.12229744
38.7717966,37.28417096,39.50658907,29.19502735,49.27023879,70.85138111,45.88276686,39.82391671,23.46991602,34.96759024,38.97112644,38.60644115,23.14055672,55.24126322,25.23336411,42.12736739,40.78551218,42.83487293,52.86724542,37.24288287,59.56011168,46.47464498,48.20603589,29.01890579,35.02019709,53.73197972,27.77956146,54.80003681
38.52302299,35.9705899,39.91308679,29.98530664,49.80722353,72.3375816,46.45402969,40.58689545,22.51997619,34.21992718,37.80686079,38.09499865,22.35166185,55.54937277,24.61768536,41.33314968,41.21016252,42.81688466,52.32835066,37.04158492,58.0988418,45.1868818,47.33146063,28.25658154,34.7650512,54.19801801,27.23227875,53.47777618
38.27424939,34.65700885,40.31958451,30.77558593,50.34420828,73.82378208,47.02529252,41.34987418,21.57003637,33.47226413,36.64259513,37.58355616,21.56276698,55.85748231,24.00200662,40.53893197,41.63481286,42.7988964,51.78945591,36.84028697,56.63757191,43.89911861,46.45688538,27.49425729,34.50990532,54.6640563,26.68499603,52.15551556
38.02547578,33.34342779,40.72608222,31.56586522,50.88119302,75.30998257,47.59655535,42.11285291,20.62009655,32.72460107,35.47832947,37.07211366,20.7738721,56.16559186,23.38632788,39.74471426,42.0594632,42.78090813,51.25056115,36.63898902,55.17630203,42.61135543,45.58231013,26.73193303,34.25475944,55.1300946,26.13771332,50.83325493
37.77670218,32.02984673,41.13257994,32.35614451,51.41817777,76.79618305,48.16781818,42.87583164,19.67015673,31.97693802,34.31406382,36.56067116,19.98497723,56.4737014,22.77064913,38.95049655,42.48411354,42.76291987,50.7116664,36.43769107,53.71503215,41.32359224,44.70773487,25.96960878,33.99961356,55.59613289,25.59043061,49.5109943
37.52792857,30.71626568,41.53907766,33.1464238,51.95516251,78.28238354,48.73908102,43.63881038,18.7202169,31.22927497,33.14979816,36.04922866,19.19608236,56.78181095,22.15497039,38.15627884,42.90876388,42.7449316,50.17277164,36.23639312,52.25376226,40.03582906,43.83315962,25.20728452,33.74446768,56.06217118,25.04314789,48.18873367
37.27915497,29.40268462,41.94557538,33.93670309,52.49214726,79.76858403,49.31034385,44.40178911,17.77027708,30.48161191,31.9855325,35.53778617,18.40718748,57.08992049,21.53929165,37.36206113,43.33341422,42.72694334,49.63387689,36.03509516,50.79249238,38.74806588,42.95858437,24.44496027,33.4893218,56.52820948,24.49586518,46.86647304
37.03038136,28.08910357,42.3520731,34.72698238,53.029132,81.25478451,49.88160668,45.16476784,16.82033726,29.73394886,30.82126685,35.02634367,17.61829261,57.39803003,20.9236129,36.56784342,43.75806456,42.70895507,49.09498213,35.83379721,49.3312225,37.46030269,42.08400911,23.68263602,33.23417592,56.99424777,23.94858247,45.54421241
36.78160776,26.77552251,42.75857081,35.51726167,53.56611674,82.740985,50.45286951,45.92774658,15.87039743,28.9862858,29.65700119,34.51490117,16.82939773,57.70613958,20.30793416,35.77362571,44.1827149,42.69096681,48.55608738,35.63249926,47.86995261,36.17253951,41.20943386,22.92031176,32.97903004,57.46028606,23.40129975,44.22195178
36.53283415,25.46194145,43.16506853,36.30754096,54.10310149,84.22718549,51.02413234,46.69072531,14.92045761,28.23862275,28.49273553,34.00345867,16.04050286,58.01424912,19.69225542,34.979408,44.60736524,42.67297854,48.01719262,35.43120131,46.40868273,34.88477632,40.33485861,22.15798751,32.72388416,57.92632436,22.85401704,42.89969115
36.28406055,24.1483604,43.57156625,37.09782025,54.64008623,85.71338597,51.59539517,47.45370404,13.97051779,27.49095969,27.32846987,33.49201618,15.25160799,58.32235867,19.07657667,34.18519029,45.03201558,42.65499028,47.47829787,35.22990336,44.94741285,33.59701314,39.46028335,21.39566325,32.46873828,58.39236265,22.30673433,41.57743052
36.03528694,22.83477934,43.97806397,37.88809954,55.17707098,87.19958646,52.166658,48.21668278,13.02057797,26.74329664,26.16420422,32.98057368,14.46271311,58.63046821,18.46089793,33.39097258,45.45666592,42.63700201,46.93940311,35.02860541,43.48614296,32.30924995,38.5857081,20.633339,32.2135924,58.85840094,21.75945162,40.2551699
35.78651334,21.52119828,44.38456168,38.67837883,55.71405572,88.68578694,52.73792083,48.97966151,12.07063814,25.99563358,24.99993856,32.46913118,13.67381824,58.93857776,17.84521919,32.59675488,45.88131626,42.61901375,46.40050836,34.82730746,42.02487308,31.02148677,37.71113285,19.87101475,31.95844652,59.32443924,21.2121689,38.93290927
35.53773973,20.20761723,44.7910594,39.46865812,56.25104047,90.17198743,53.30918366,49.74264024,11.12069832,25.24797053,23.8356729,31.95768868,12.88492337,59.2466873,17.22954044,31.80253717,46.3059666,42.60102548,45.8616136,34.62600951,40.56360319,29.73372359,36.8365576,19.10869049,31.70330064,59.79047753,20.66488619,37.61064864
35.28896613,18.89403617,45.19755712,40.25893741,56.78802521,91.65818792,53.88044649,50.50561898,10.1707585,24.50030747,22.67140725,31.44624619,12.09602849,59.55479685,16.6138617,31.00831946,46.73061694,42.58303722,45.32271884,34.42471156,39.10233331,28.4459604,35.96198234,18.34636624,31.44815476,60.25651582,20.11760348,36.28838801
35.04019252,17.58045511,45.60405484,41.0492167,57.32500996,93.1443884,54.45170932,51.26859771,9.220818677,23.75264442,21.50714159,30.93480369,11.30713362,59.86290639,15.99818296,30.21410175,47.15526728,42.56504895,44.78382409,34.22341361,37.64106343,27.15819722,35.08740709,17.58404198,31.19300888,60.72255411,19.57032076,34.96612738
34.79141892,16.26687406,46.01055256,41.83949599,57.8619947,94.63058889,55.02297215,52.03157644,8.270878854,23.00498137,20.34287593,30.42336119,10.51823874,60.17101594,15.38250421,29.41988404,47.57991762,42.54706069,44.24492933,34.02211565,36.17979354,25.87043403,34.21283184,16.82171773,30.937863,61.18859241,19.02303805,33.64386675
