var,CMDMin,CMDMax,Tlow,Thigh,Spp
mean,306.754182314783,797.811784216785,-3.65421455938697,30.668634938729,Py
mean,121.221906693712,797.811784216785,-4.79164951106536,30.668634938729,Fd
mean,125.083508492871,591.631404636665,-8.90533926585095,28.3166829014871,At
mean,17.1681172193456,1029.05243119765,-8.90533926585095,33.5881485913195,Pl
mean,39.5306780009598,580.508279758426,-8.90533926585095,26.4601790450928,Sx
mean,125.083508492871,289.016710875332,-8.90533926585095,22.5501405360938,Sb
mean,39.5306780009598,427.46675762838,-6.09668752952291,24.0371426612737,Bl
mean,17.1681172193456,494.134801816174,-2.57535877031898,26.2413915817892,Cw
mean,17.1681172193456,452.126503608661,-2.60258961428377,26.1787517241379,Hw
mean,159.437074026588,347.429644525936,-0.769010804166397,24.1696811971373,Pw
mean,17.1681172193456,666.63995621237,0.281129141311697,24.6570607553366,Ss
mean,130.166256157635,490.100095785441,-2.55272830617658,26.1787517241379,Lw
mean,9.70190202517789,303.851826561967,-2.67347900307272,21.5409164094995,Ba
mean,8.5050588478216,61.0992865636148,-0.578676248565735,17.6107193816885,Yc
mean,8.5050588478216,460.956533227639,-4.70673103448276,22.1136741973841,Hm
mean,124.609995201207,301.557154493619,-5.17505702401717,20.4043103448276,Pa
mean,166.233651535814,654.217367755913,-1.84076021834643,26.2693326111813,Bg
mean,17.1681172193456,494.134801816174,-1.00523053080201,26.2413915817892,Dr
mean,256.596202871327,773.991336563123,2.90252247417147,30.668634938729,Mb
mean,452.850217609642,666.63995621237,2.51671242048878,26.7171763175016,Ra
mean,73.7708930834389,569.894074322062,-2.91794727636182,27.6084901772221,Act
mean,494.134801816174,774.469248584663,2.34003428496077,30.667711013896,Qg
